"Education_lev_x_Some_College_minus_Extremely_Likely","DogOwner_lev_x_","EthnicDescription_catN","MedianEducationYears","Education_lev_x_HS_Diploma_minus_Likely","BookBuyerInHome_lev_x_2_book_purchases_in_home","OccupationIndustry_lev_x_Clerical_slash_Office","OccupationIndustry_lev_x_Manufacturing","OccupationIndustry_lev_x_Financial_Services","Education_lev_x_HS_Diploma_minus_Extremely_Likely","BookBuyerInHome_catP","BookBuyerInHome_lev_x_","BookBuyerInHome_lev_x_1_book_purchase_in_home_","OccupationIndustry_lev_x_Skilled_Trades","OccupationIndustry_lev_x_Medical","OccupationIndustry_lev_x_Management","OccupationIndustry_lev_x_Unknown","OccupationIndustry_catP","OccupationIndustry_lev_x_Other","OccupationIndustry_lev_x_Education","BroadEthnicGroupings_catP","ISPSA","BroadEthnicGroupings_catD","EthnicDescription_catP","BroadEthnicGroupings_catN","Education_catP","EthnicDescription_catD","Education_catD","Education_catN","NetWorth_catN","OccupationIndustry_catD","NetWorth_catP","OccupationIndustry_catN","NetWorth_catD","BookBuyerInHome_catD","BookBuyerInHome_catN","PresenceOfChildrenCode_catN","UpscaleBuyerInHome_catN","UpscaleBuyerInHome_catD","UpscaleBuyerInHome_catP","MosaicZ4_catN","Education_lev_x_Bach_Degree_minus_Extremely_Likely","BroadEthnicGroupings_lev_x_Irish","PresenceOfChildrenCode_catP","DogOwner_lev_x_Yes","MosaicZ4_catP","AnyDonation","HighSpenders","OccupationRebinned","HasPet","MagazineSubscriptionCount","gbmPred","lmPred","xgbPred","ensemblePred"
0,1,56.6195377455189,15,0,0,0,0,0,1,0.657533333333333,1,0,1,0,0,0,0.0384666666666667,0,0,0.123666666666667,9,98.2358701542159,0.001,-3.45252162887886,0.106,87.9351891343947,96.2498321195847,-2.27438498492552,-0.279819865724562,101.566876210191,0.1902,-1.35665258694883,98.2179821366772,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,-4.57071254324984,0,0,0.4706,0,0.0183333333333333,1,0,"Service-Oriented",0,0,325.249405387856,362.508655755753,301.495330810547,329.751130651385
0,1,31.6153692727606,12,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.123666666666667,9,98.2358701542159,0.00266666666666667,-3.45252162887886,0.207466666666667,92.3715988654078,98.5263524382467,4.11552040678816,-0.279819865724562,98.4777704868966,0.1902,-0.269804532752573,98.2179821366772,98.9257727609024,-0.232746773281519,-3.14089551821507,2.52600910962644,96.8608775543994,0.971466666666667,29.3380347530483,0,0,0.119,0,0.000533333333333333,0,1,"Other",0,0,325.249405387856,364.28695387522,297.186889648438,328.907749637171
0,1,4.34174391233046,13,0,0,0,0,0,0,0.0072,0,0,1,0,0,0,0.0384666666666667,0,0,0.007,9,86.2070670154982,0.0226,21.9786131202914,0.207466666666667,93.2182658851971,98.5263524382467,4.11552040678816,3.55095695581497,101.566876210191,0.0308,-1.35665258694883,97.8700474579218,94.7973646603909,5.23057503295837,-3.14089551821507,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.119,0,0.7916,1,0,"Service-Oriented",0,1,327.410263574868,341.02288140963,315.606018066406,328.013054350301
0,1,52.5910522502961,15,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.4066,9,98.9335721309893,0.0002,-0.476240578249076,0.207466666666667,41.1214043568791,98.5263524382467,4.11552040678816,-0.279819865724562,98.4777704868966,0.1902,-0.269804532752573,98.2179821366772,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,1,0,"Other",1,0,325.249405387856,355.043102291738,303.476867675781,327.923125118458
0,1,4.34174391233046,14,0,0,0,0,1,0,0.657533333333333,1,0,0,0,0,0,0.0326,0,0,0.00106666666666667,9,66.4066772879937,0.0226,40.985598029355,0.207466666666667,93.2182658851971,98.5263524382467,4.11552040678816,3.55095695581497,99.3198743103586,0.0308,6.51364011257755,97.8700474579218,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,0,1,"Other",1,0,318.333178325401,363.628692336244,301.593078613281,327.851649758308
0,1,52.4924949106884,14,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.0156666666666667,6,101.549458947024,0.0000666666666666667,-0.931585666923581,0.184066666666667,145.875993627894,100.146527534892,-2.44594361468762,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,98.9257727609024,-0.232746773281519,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,-3.53800278342709,0,0,0.4706,0,0.0188666666666667,0,1,"Other",0,2,329.895952538261,352.791196172084,298.570709228516,327.085952646287
0,1,31.6153692727606,15,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.072,6,101.295783780048,0.00266666666666667,1.0192167636323,0.0939333333333333,92.3715988654078,95.4265212471927,0.269278892447517,6.31055524463881,98.4777704868966,0.0194,-0.269804532752573,96.6508278376465,98.9257727609024,-0.232746773281519,-3.14089551821507,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.119,0,0.7916,1,0,"Other",0,0,326.175631152766,355.127077303335,299.895355224609,327.066021226904
0,1,5.61984697000258,17,0,0,0,0,0,0,0.657533333333333,1,0,0,0,0,1,0.6392,0,0,0.00146666666666667,9,99.0995454799431,0.0902666666666667,28.0430264744408,0.207466666666667,99.0347147106627,98.5263524382467,4.11552040678816,1.43736033194972,98.4777704868966,0.160066666666667,-0.269804532752573,99.4838694709863,98.9257727609024,-0.232746773281519,3.54364717640215,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.049,0,0.7916,0,0,"Other",0,0,319.749006271841,358.154695287509,302.3818359375,326.761845832283
0,1,-4.40448326472119,15,1,0,0,0,0,0,0.129733333333333,0,1,0,0,0,1,0.6392,0,0,0.00246666666666667,9,95.7184739427018,0.120866666666667,31.5073223351082,0.0441333333333333,104.755393897465,97.5203305940929,-1.00068938201173,6.31055524463881,98.4777704868966,0.0194,-0.269804532752573,96.6508278376465,96.8279485605122,5.36700565526439,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.250733333333333,0,0.7916,1,0,"Other",1,0,319.630798001814,356.4440474462,304.192230224609,326.755691890874
0,1,52.5910522502961,12,0,0,0,0,0,0,0.129733333333333,0,1,0,0,0,1,0.6392,0,0,0.4066,9,98.9335721309893,0.0002,-0.476240578249076,0.0939333333333333,41.1214043568791,95.4265212471927,0.269278892447517,-2.0129328871987,98.4777704868966,0.2184,-0.269804532752573,98.7666250947536,96.8279485605122,5.36700565526439,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,-2.74399591603702,0,0,0.4706,0,0.0338,1,0,"Other",0,0,325.249405387856,351.596193650689,302.924560546875,326.59005319514
0,1,31.6153692727606,15,0,0,0,0,0,0,0.0495333333333333,0,0,0,0,0,1,0.6392,0,0,0.019,8,94.4525955338113,0.00266666666666667,6.99097590819071,0.0612666666666667,92.3715988654078,100.495810794304,1.13459118660455,-0.279819865724562,98.4777704868966,0.1902,-0.269804532752573,98.2179821366772,97.5794363484528,-4.42906135302161,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,0,0,0.4706,0,0.7916,1,1,"Other",0,0,326.747575377449,352.802296666011,299.559997558594,326.369956534018
0,1,13.125254992672,15,0,0,0,0,1,0,0.129733333333333,0,1,0,0,0,0,0.0326,0,0,0.0156666666666667,9,101.549458947024,0.0058,-0.931585666923581,0.207466666666667,92.5383271258222,98.5263524382467,4.11552040678816,-0.279819865724562,99.3198743103586,0.1902,6.51364011257755,98.2179821366772,96.8279485605122,5.36700565526439,2.04412729800174,2.52600910962644,96.8608775543994,0.971466666666667,6.27615388268777,0,0,0.250733333333333,0,0.0338,0,0,"Other",0,1,329.788197965837,337.074423702138,312.192901611328,326.351841093101
0,1,12.8743955198299,16,0,0,0,0,0,0,0.129733333333333,0,1,0,0,0,1,0.6392,0,0,0.019,9,94.4525955338113,0.004,6.99097590819071,0.1762,92.1382592552779,98.5510896458431,1.24632102738497,-0.279819865724562,98.4777704868966,0.1902,-0.269804532752573,98.2179821366772,96.8279485605122,5.36700565526439,-0.591488388313451,2.52600910962644,96.8608775543994,0.971466666666667,0.680511403759795,1,0,0.4706,0,0.7916,1,1,"Other",0,1,331.28636795543,332.852256435735,313.572937011719,325.903853800961
